Epoch,Training Accuracy,Validation Accuracy
0,0.9464049935340881,0.9497249722480774
1,0.9496162533760071,0.9497950077056885
2,0.9498199820518494,0.9498699903488159
3,0.9499725103378296,0.9496099948883057
4,0.9500962495803833,0.949874997138977
5,0.9501324892044067,0.9497600197792053
6,0.9501737356185913,0.9497950077056885
7,0.950258731842041,0.9498850107192993
8,0.950267493724823,0.9498800039291382
9,0.950314998626709,0.9497799873352051
10,0.9502987265586853,0.9498050212860107
11,0.9502437710762024,0.9498149752616882
12,0.9502687454223633,0.9498500227928162
13,0.9502562284469604,0.9497449994087219
14,0.9503049850463867,0.9498249888420105
15,0.9503700137138367,0.9496650099754333
16,0.9502775073051453,0.9497150182723999
17,0.9503700137138367,0.9495900273323059
18,0.950323760509491,0.9496600031852722
19,0.9503350257873535,0.9496250152587891
20,0.9503700137138367,0.9497050046920776
21,0.9504237771034241,0.9495599865913391
22,0.9503112435340881,0.9499149918556213
23,0.9505362510681152,0.9496300220489502
24,0.950353741645813,0.9497249722480774
25,0.9502887725830078,0.9496549963951111
26,0.950285017490387,0.9495700001716614
27,0.950297474861145,0.9496700167655945
28,0.9503862261772156,0.9495350122451782
29,0.9504337310791016,0.9497799873352051
